track_dur_log,popularity,danceability,energy,speech_log,acousticness,instrumentalness,liveness_log,valence,loudness,tempo_log,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False
5.220420687839555,74,0.811,0.889,-2.785471348070795,0.171,0.00035,-2.0099154790312257,0.87,-4.5,4.5433479723447485,0.28,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.57,1,0.65,313919,0,1,1
5.52744696567503,65,0.616,0.69,-3.387294476493164,0.671,0.0,-0.9996723408132061,0.446,-5.189,4.753297044694878,0.473,4,0.345,0,0,0,0,1,0,0,0,0,0,0,0.577,1,0.577,26012,0,1,1
5.36410510708604,73,0.718,0.655,-2.588934720212048,0.187,0.0,-0.6971552019574841,0.569,-6.419,4.6052901787886675,0.397,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0.474,0,0.407,270345,1,0,1
5.396935704721076,51,0.925,0.65,-1.8643301620628905,0.0569,0.00631,-2.3892328997197176,0.923,-6.667,4.920360415856471,0.909,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.222,1,0.333,357797,0,1,1
5.2848926570252805,55,0.777,0.805,-1.973281345851445,0.114,1e-06,-2.1715568305876416,0.578,-5.547,5.192923517001309,0.14,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.525,0,0.54,253735,0,1,1
5.2896700863554855,55,0.611,0.767,-3.270169119255751,0.053,0.0,-1.2447947988461912,0.803,-4.695,4.896981222523549,0.555,4,0.955,0,0,0,0,0,0,0,0,0,0,1,0.416,0,0.472,155842,0,1,1
5.148842405159027,62,0.816,0.669,-2.8542327112802917,0.126,0.0,-2.1286317858706076,0.668,-5.336,4.787666727471332,0.8,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.577,0,0.639,1935371,0,1,1
5.595569747158458,62,0.755,0.594,-3.165335057940171,0.12,1.74e-06,-2.7090507014357934,0.629,-7.316,4.770243849372492,0.729,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.464,0,0.578,2907512,0,1,1
5.3734248390348425,75,0.779,0.712,-2.320749063621717,0.0309,0.00455,-2.682382454353632,0.653,-3.921,4.594190125144928,0.203,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.28,0,0.409,534854,0,1,1
5.282187984618153,73,0.473,0.839,-3.2213789550863194,0.19,0.000253,-2.639457409636598,0.411,-7.837,4.605500131550067,0.149,4,0.821,0,1,0,0,0,0,0,0,0,0,0,0.85,0,0.788,387762,0,1,1
