danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo_confidence,time_signature_confidence,key_confidence,mode,mode_confidence,al_type_compilation,al_type_single,exp_False,track_dur_sc,pop_sc,loud_sc,tempo_sc,time_sc,key_sc,follow_sc,target
0.811,0.889,0.0617,0.171,0.00035,0.134,0.87,0.28,1.0,0.57,1,0.65,0,1,1,0.1967719481423475,0.7173913043478262,0.8474685707774696,0.2237164135898313,0.75,1.0,0.0028517572648232,0
0.616,0.69,0.0338,0.671,0.0,0.368,0.446,0.473,0.345,0.577,1,0.577,0,1,1,0.317296397807361,0.6195652173913044,0.8212997075468114,0.3682004789599725,0.75,0.3636363636363636,0.0002355526475206,0
0.718,0.655,0.0751,0.187,0.0,0.498,0.569,0.397,1.0,0.474,0,0.407,1,0,1,0.2485933466747875,0.7065217391304348,0.7745831592540544,0.2632371904523803,0.75,0.7272727272727273,0.0024558012790557,3
0.925,0.65,0.155,0.0569,0.00631,0.0917,0.923,0.909,1.0,0.222,1,0.333,0,1,1,0.2615160677513849,0.4673913043478261,0.7651638877283602,0.5069278138898391,0.75,0.5454545454545454,0.0032504756919472,0
0.777,0.805,0.139,0.114,1e-06,0.114,0.578,0.14,1.0,0.525,0,0.54,0,1,1,0.2191061950752632,0.5108695652173914,0.807702533328269,0.7894484065370141,0.75,0.9090909090909092,0.0023048665720379,2
0.611,0.767,0.038,0.053,0.0,0.288,0.803,0.555,0.955,0.416,0,0.472,0,1,1,0.2208191942921778,0.5108695652173914,0.8400622887310568,0.4860917392562961,0.75,0.9090909090909092,0.0014153150203159,2
0.816,0.669,0.0576,0.126,0.0,0.119,0.668,0.8,1.0,0.577,0,0.639,0,1,1,0.173605673018359,0.5869565217391304,0.8157165103118234,0.3948788126003315,0.75,0.4545454545454546,0.0175858561548624,2
0.755,0.594,0.0422,0.12,1.74e-06,0.0666,0.629,0.729,1.0,0.464,0,0.578,0,1,1,0.3494355259723309,0.5869565217391304,0.7405142618405559,0.3812402957972578,0.75,0.5454545454545454,0.0264196801774432,2
0.779,0.712,0.0982,0.0309,0.00455,0.0684,0.653,0.203,1.0,0.28,0,0.409,0,1,1,0.2522187418428608,0.7282608695652173,0.8694595313152795,0.2559738414168794,0.75,0.4545454545454546,0.0048593887816802,2
0.473,0.839,0.0399,0.19,0.000253,0.0714,0.411,0.149,0.821,0.85,0,0.788,0,1,1,0.2181400272629717,0.7065217391304348,0.720726195449884,0.2633753519829469,0.75,0.0909090909090909,0.0035227669921152,2
0.557,0.794,0.2,0.179,0.0,0.106,0.432,0.479,0.997,0.563,0,0.628,0,0,1,0.3508294904144551,0.7608695652173914,0.8019674123589956,0.2063541145819627,0.75,1.0,0.1408357938977034,3
0.885,0.834,0.0394,0.403,3.22e-05,0.0865,0.84,0.889,1.0,0.316,1,0.45,0,1,0,0.1947018475013776,0.7717391304347825,0.8902351019788065,0.4211755572515065,0.75,0.2727272727272727,0.0047801866801529,0
0.704,0.542,0.0307,0.476,0.000196,0.141,0.386,0.523,0.992,0.72,0,0.682,0,1,1,0.264389193422083,0.5543478260869565,0.84127767860534,0.2434603542198479,0.75,0.1818181818181818,0.0012661159261241,2
0.898,0.467,0.0816,0.563,0.0,0.0994,0.619,0.416,1.0,0.504,1,0.789,0,1,1,0.2999561327184663,0.5869565217391304,0.743476774659121,0.4215308297586778,0.75,0.0,0.0028916036639968,0
0.832,0.59,0.272,0.446,1.43e-06,0.123,0.596,0.602,0.992,0.744,0,0.58,0,0,0,0.1386713651788045,0.7282608695652173,0.7461354400091154,0.5717650464485908,0.75,0.7272727272727273,0.0264117199845866,3
0.854,0.697,0.207,0.387,7.97e-05,0.101,0.499,0.734,1.0,0.711,1,0.775,0,0,0,0.1473541866063401,0.7282608695652173,0.7378176155569902,0.2962380588962867,0.75,0.0909090909090909,0.0151462115229516,1
0.947,0.732,0.355,0.15,0.0,0.134,0.673,0.098,1.0,0.569,1,0.435,0,0,1,0.2456930305403289,0.576086956521739,0.7994606707432867,0.3952867180715281,0.75,0.8181818181818182,0.0078352650810101,1
0.588,0.744,0.324,0.0153,0.0,0.0743,0.55,0.246,1.0,0.278,0,0.465,0,1,0,0.1893253864671249,0.7173913043478262,0.8692316457138515,0.4609660780546857,0.75,0.0909090909090909,0.0003729477570998,2
0.756,0.736,0.0443,0.0597,4.98e-06,0.0373,0.612,0.791,0.784,0.009,1,0.196,0,0,0,0.222755155311929,0.7173913043478262,0.725207945611303,0.3683254822495329,0.75,1.0,0.0389516953052627,1
0.388,0.496,0.03,0.317,0.000182,0.153,0.34,0.037,0.985,0.935,1,0.675,0,1,1,0.157686562835349,0.7826086956521738,0.687682783242812,0.8155740940551067,0.75,0.0909090909090909,0.0035227669921152,0
0.51,0.917,0.0854,0.0054,0.000133,0.396,0.313,0.332,0.994,0.442,0,0.341,0,0,1,0.3552524725195046,0.7391304347826086,0.8358464051046374,0.0993249822363746,0.75,0.3636363636363636,0.070590835773452,3
0.787,0.546,0.0532,0.305,4.55e-05,0.122,0.222,0.53,1.0,0.687,0,0.729,0,0,1,0.1821326024536674,0.8369565217391304,0.7489460290933949,0.2174333535093028,0.75,0.0,0.5931138516124639,3
0.58,0.778,0.0983,0.189,1.66e-05,0.109,0.277,0.057,0.976,0.531,1,0.675,0,0,0,0.2858479074219089,0.391304347826087,0.776634129666907,0.8155214610910814,0.75,0.7272727272727273,0.0014636940919693,1
0.854,0.367,0.328,0.421,7.73e-05,0.0903,0.349,0.123,0.864,0.387,0,0.448,0,1,0,0.2170632848980538,0.5108695652173914,0.4685327965361388,0.2630266585962788,0.75,0.2727272727272727,0.0013964050187925,2
0.776,0.565,0.105,0.36,8.81e-05,0.308,0.53,0.748,1.0,0.586,1,0.699,0,0,0,0.2547402041822559,0.7173913043478262,0.6154430475901096,0.3094423537461511,0.75,0.6363636363636364,0.0436862471811625,1
0.528,0.855,0.0953,7.38e-05,1.81e-06,0.281,0.549,0.903,1.0,0.169,1,0.336,0,1,1,0.2257479190231735,0.75,0.8197804702039575,0.5722913760888444,0.75,0.0,0.0123404707154636,0
0.448,0.309,0.0283,0.845,0.0,0.13,0.385,0.133,0.995,0.608,1,0.682,0,0,1,0.3376584297688447,0.6630434782608696,0.6640966234950054,0.5261717413616148,0.75,0.8181818181818182,0.0121399665426551,1
0.68,0.922,0.121,0.103,0.0,0.0877,0.799,0.817,1.0,0.457,1,0.548,0,1,1,0.1821996722642768,0.8369565217391304,0.972235937559345,0.427728361272665,0.75,0.0,0.0159313355218108,0
0.826,0.618,0.276,0.0189,3e-06,0.108,0.361,0.316,1.0,0.603,1,0.659,0,0,0,0.2239406595318889,0.4673913043478261,0.7677086102776405,0.5717255717255718,0.75,0.7272727272727273,5.682087435176338e-05,1
0.544,0.582,0.0375,0.409,4.47e-06,0.342,0.359,0.019,1.0,0.585,1,0.707,0,1,1,0.3407581426375475,0.6521739130434783,0.7583653006190891,0.6715571462406905,0.75,1.0,0.0067485987993284,0
0.652,0.545,0.0982,0.0431,0.0,0.149,0.524,0.808,1.0,0.605,1,0.562,0,1,1,0.1876867078511557,0.4456521739130435,0.7099016293820501,0.4211755572515065,0.75,0.0,0.0031065652190368,0
0.647,0.686,0.0413,0.08,1.34e-06,0.528,0.268,0.161,0.988,0.304,0,0.333,0,0,1,0.3296173032860582,0.923913043478261,0.8001823084811424,0.1311021342666912,0.75,0.2727272727272727,0.5931138516124639,3
0.854,0.492,0.424,0.129,0.0,0.0859,0.61,0.459,1.0,0.59,0,0.533,0,0,0,0.1375855593259665,0.6847826086956521,0.7242964032055906,0.4624134845653833,0.75,0.1818181818181818,0.0151462115229516,3
