artist,popularity,country,danceability,energy,acousticness,instrumentalness,valence,loudness,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False,al_total_tracks_log,track_dur_log,speechiness_log,liveness_log,tempo_log
Young Cister,74,chile,0.811,0.889,0.171,0.00035,0.87,-4.5,0.28,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.57,1,0.65,313919,0,1,1,0.0,5.220420687839555,-2.785471348070795,-2.0099154790312257,4.5433479723447485
小阿七,65,taiwán,0.616,0.69,0.671,0.0,0.446,-5.189,0.473,4,0.345,0,0,0,0,1,0,0,0,0,0,0,0.577,1,0.577,26012,0,1,1,0.6931471805599453,5.52744696567503,-3.387294476493164,-0.9996723408132061,4.753297044694878
MC SQUARE,73,inglaterra,0.718,0.655,0.187,0.0,0.569,-6.419,0.397,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0.474,0,0.407,270345,1,0,1,3.6635616461296463,5.36410510708604,-2.588934720212048,-0.6971552019574841,4.6052901787886675
Irina Kairatovna,51,kazijistán,0.925,0.65,0.0569,0.00631,0.923,-6.667,0.909,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.222,1,0.333,357797,0,1,1,0.0,5.396935704721076,-1.8643301620628905,-2.3892328997197176,4.920360415856471
Bogdan DLP,55,rumanía,0.777,0.805,0.114,1e-06,0.578,-5.547,0.14,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.525,0,0.54,253735,0,1,1,0.0,5.2848926570252805,-1.973281345851445,-2.1715568305876416,5.192923517001309
VALMAR,55,hungría,0.611,0.767,0.053,0.0,0.803,-4.695,0.555,4,0.955,0,0,0,0,0,0,0,0,0,0,1,0.416,0,0.472,155842,0,1,1,0.0,5.2896700863554855,-3.270169119255751,-1.2447947988461912,4.896981222523549
Ahmed Saad,62,egipto,0.816,0.669,0.126,0.0,0.668,-5.336,0.8,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.577,0,0.639,1935371,0,1,1,0.0,5.148842405159027,-2.8542327112802917,-2.1286317858706076,4.787666727471332
Wegz,62,egipto,0.755,0.594,0.12,1.74e-06,0.629,-7.316,0.729,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.464,0,0.578,2907512,0,1,1,0.0,5.595569747158458,-3.165335057940171,-2.7090507014357934,4.770243849372492
Omar Montes,75,españa,0.779,0.712,0.0309,0.00455,0.653,-3.921,0.203,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.28,0,0.409,534854,0,1,1,0.0,5.3734248390348425,-2.320749063621717,-2.682382454353632,4.594190125144928
Dedublüman,73,turquía,0.473,0.839,0.19,0.000253,0.411,-7.837,0.149,4,0.821,0,1,0,0,0,0,0,0,0,0,0,0.85,0,0.788,387762,0,1,1,0.0,5.282187984618153,-3.2213789550863194,-2.639457409636598,4.605500131550067
Sidhu Moose Wala,78,inglaterra,0.557,0.794,0.179,0.0,0.432,-5.698,0.479,4,0.997,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0.628,15498729,0,0,1,3.4657359027997265,5.598421958998375,-1.6094379124341003,-2.24431618487007,4.514873418006933
Felipe Amorim,79,brasil,0.885,0.834,0.403,3.22e-05,0.84,-3.374,0.889,4,1.0,0,0,0,1,0,0,0,0,0,0,0,0.316,1,0.45,526138,0,1,0,0.0,5.21422898616575,-3.233989462678249,-2.4476108650443034,4.820426716360479
