track_duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False
185.012,74,0.811,0.889,0.0617,0.171,0.00035,0.134,0.87,-4.5,94.005,0.28,4,1.0,11,0.57,1,0.65,313919,0,1,1
251.501,65,0.616,0.69,0.0338,0.671,0.0,0.368,0.446,-5.189,115.966,0.473,4,0.345,4,0.577,1,0.577,26012,0,1,1
213.6,73,0.718,0.655,0.0751,0.187,0.0,0.498,0.569,-6.419,100.012,0.397,4,1.0,8,0.474,0,0.407,270345,1,0,1
220.729,51,0.925,0.65,0.155,0.0569,0.00631,0.0917,0.923,-6.667,137.052,0.909,4,1.0,6,0.222,1,0.333,357797,0,1,1
197.333,55,0.777,0.805,0.139,0.114,1e-06,0.114,0.578,-5.547,179.994,0.14,4,1.0,10,0.525,0,0.54,253735,0,1,1
198.278,55,0.611,0.767,0.038,0.053,0.0,0.288,0.803,-4.695,133.885,0.555,4,0.955,10,0.416,0,0.472,155842,0,1,1
172.232,62,0.816,0.669,0.0576,0.126,0.0,0.119,0.668,-5.336,120.021,0.8,4,1.0,5,0.577,0,0.639,1935371,0,1,1
269.231,62,0.755,0.594,0.0422,0.12,1.74e-06,0.0666,0.629,-7.316,117.948,0.729,4,1.0,6,0.464,0,0.578,2907512,0,1,1
215.6,75,0.779,0.712,0.0982,0.0309,0.00455,0.0684,0.653,-3.921,98.908,0.203,4,1.0,5,0.28,0,0.409,534854,0,1,1
196.8,73,0.473,0.839,0.0399,0.19,0.000253,0.0714,0.411,-7.837,100.033,0.149,4,0.821,1,0.85,0,0.788,387762,0,1,1
270.0,78,0.557,0.794,0.2,0.179,0.0,0.106,0.432,-5.698,91.366,0.479,4,0.997,11,0.563,0,0.628,15498729,0,0,1
183.87,79,0.885,0.834,0.0394,0.403,3.22e-05,0.0865,0.84,-3.374,124.018,0.889,4,1.0,3,0.316,1,0.45,526138,0,1,0
222.314,59,0.704,0.542,0.0307,0.476,0.000196,0.141,0.386,-4.663,97.006,0.523,4,0.992,2,0.72,0,0.682,139423,0,1,1
241.935,62,0.898,0.467,0.0816,0.563,0.0,0.0994,0.619,-7.238,124.072,0.416,4,1.0,0,0.504,1,0.789,318304,0,1,1
152.96,75,0.832,0.59,0.272,0.446,1.43e-06,0.123,0.596,-7.168,146.907,0.602,4,0.992,8,0.744,0,0.58,2906636,0,0,0
157.75,75,0.854,0.697,0.207,0.387,7.97e-05,0.101,0.499,-7.387,105.028,0.734,4,1.0,1,0.711,1,0.775,1666894,0,0,0
212.0,61,0.947,0.732,0.355,0.15,0.0,0.134,0.673,-5.764,120.083,0.098,4,1.0,9,0.569,1,0.435,862342,0,0,1
180.904,74,0.588,0.744,0.324,0.0153,0.0,0.0743,0.55,-3.927,130.066,0.246,4,1.0,1,0.278,0,0.465,41132,0,1,0
199.346,74,0.756,0.736,0.0443,0.0597,4.98e-06,0.0373,0.612,-7.719,115.985,0.791,4,0.784,11,0.009,1,0.196,4286630,0,0,0
163.45,80,0.388,0.496,0.03,0.317,0.000182,0.153,0.34,-8.707,183.965,0.037,4,0.985,1,0.935,1,0.675,387762,0,1,1
272.44,76,0.51,0.917,0.0854,0.0054,0.000133,0.396,0.313,-4.806,75.098,0.332,4,0.994,4,0.442,0,0.341,7768441,0,0,1
176.936,85,0.787,0.546,0.0532,0.305,4.55e-05,0.122,0.222,-7.094,93.05,0.53,4,1.0,0,0.687,0,0.729,65270837,0,0,1
234.152,44,0.58,0.778,0.0983,0.189,1.66e-05,0.109,0.277,-6.365,183.957,0.057,4,0.976,8,0.531,1,0.675,161166,0,0,0
196.206,55,0.854,0.367,0.328,0.421,7.73e-05,0.0903,0.349,-14.477,99.98,0.123,4,0.864,3,0.387,0,0.448,153761,0,1,0
216.991,74,0.776,0.565,0.105,0.36,8.81e-05,0.308,0.53,-10.609,107.035,0.748,4,1.0,7,0.586,1,0.699,4807656,0,0,0
200.997,77,0.528,0.855,0.0953,7.38e-05,1.81e-06,0.281,0.549,-5.229,146.987,0.903,4,1.0,0,0.169,1,0.336,1358129,0,1,1
262.734,69,0.448,0.309,0.0283,0.845,0.0,0.13,0.385,-9.328,139.977,0.133,4,0.995,9,0.608,1,0.682,1336064,0,0,1
176.973,85,0.68,0.922,0.121,0.103,0.0,0.0877,0.799,-1.215,125.014,0.817,4,1.0,0,0.457,1,0.548,1753295,0,1,1
200.0,51,0.826,0.618,0.276,0.0189,3e-06,0.108,0.361,-6.6,146.901,0.316,4,1.0,8,0.603,1,0.659,6343,0,0,0
264.444,68,0.544,0.582,0.0375,0.409,4.47e-06,0.342,0.359,-6.846,162.075,0.019,4,1.0,11,0.585,1,0.707,742757,0,1,1
180.0,49,0.652,0.545,0.0982,0.0431,0.0,0.149,0.524,-8.122,124.018,0.808,4,1.0,0,0.605,1,0.562,341960,0,1,1
258.298,93,0.647,0.686,0.0413,0.08,1.34e-06,0.528,0.268,-5.745,79.928,0.161,4,0.988,3,0.304,0,0.333,65270837,0,0,1
152.361,71,0.854,0.492,0.424,0.129,0.0,0.0859,0.61,-7.743,130.286,0.459,4,1.0,2,0.59,0,0.533,1666894,0,0,0
165.666,68,0.642,0.802,0.213,0.22,0.0,0.0778,0.675,-4.161,90.404,0.092,4,1.0,9,0.185,0,0.0,951295,0,1,1
198.0,66,0.819,0.56,0.0306,0.337,0.0,0.149,0.931,-6.887,120.007,0.758,4,1.0,5,0.363,1,0.402,5841,0,1,1
209.6,50,0.782,0.538,0.298,0.216,0.0,0.119,0.582,-6.926,149.948,0.108,4,0.99,4,0.545,0,0.444,316445,0,0,1
146.938,57,0.706,0.65,0.249,0.0021,1.32e-05,0.173,0.749,-7.791,147.015,0.575,4,0.305,5,0.066,0,0.401,148371,0,1,0
203.191,63,0.574,0.69,0.0469,0.175,0.0,0.197,0.298,-5.198,87.019,0.318,4,0.968,6,0.26,0,0.592,299877,0,1,1
138.712,56,0.837,0.644,0.0684,0.129,0.00188,0.0979,0.681,-7.508,101.012,0.885,4,1.0,10,0.471,0,0.513,57835,0,0,0
119.206,71,0.718,0.836,0.317,0.537,0.0,0.0817,0.391,-4.654,133.16,0.213,4,0.902,11,0.318,1,0.441,2574313,0,1,0
164.041,83,0.851,0.819,0.212,0.337,0.000153,0.0658,0.903,-4.677,166.531,0.187,3,0.768,7,0.376,1,0.734,4135426,0,1,0
241.626,73,0.513,0.583,0.038,0.355,1.96e-05,0.18,0.866,-10.863,180.183,0.062,4,1.0,9,0.521,1,0.615,856570,0,0,1
263.453,64,0.536,0.702,0.0285,0.154,1.61e-06,0.0938,0.408,-6.327,136.095,0.226,4,0.993,11,0.433,0,0.556,396339,0,0,1
289.604,62,0.521,0.471,0.0317,0.786,0.0,0.105,0.269,-8.247,92.054,0.072,4,0.883,4,0.436,1,0.498,680848,0,0,1
195.642,54,0.814,0.62,0.117,0.253,0.0,0.368,0.597,-5.092,140.134,0.875,4,0.702,7,0.458,1,0.366,862342,0,1,1
171.152,74,0.705,0.574,0.0953,0.645,0.0,0.113,0.447,-6.83,114.967,0.054,4,0.974,10,0.567,0,0.661,2906636,0,0,0
191.673,56,0.872,0.665,0.121,0.187,0.0,0.0817,0.897,-6.556,110.02,0.921,4,1.0,0,0.19,0,0.346,2907512,0,1,1
173.119,91,0.876,0.498,0.0478,0.0706,0.0,0.143,0.428,-7.511,122.016,0.795,4,0.653,10,0.986,1,0.699,65270837,0,0,1
